,Title,Keywords,Topics,High-Level Keyword(s),Abstract
10,Automated Workflow Synthesis,human computation crowd computing program synthesis,"Distributed Problem Solving
Computational Social Science
Decision/Utility Theory","Multiagent Systems
Applications
Reasoning under Uncertainty","by coordinating efforts from humans and machines, human computation systems can solve problems that machines cannot tackle alone. a general challenge is to design efficient human computation algorithms or workflows with which to coordinate the work of the crowd. we explore automated workflow synthesis aimed at ideally harnessing human efforts by learning about the crowd's performance on tasks and synthesizing an optimal workflow for solving a problem. we present experimental results for human sorting tasks, which demonstrate both the benefit of understanding and optimizing the structure of workflows based on observations. results also demonstrate the benefits of using value of information to guide experiments for identifying efficient workflows with fewer experiments."
11,Video Saliency Detection via Dynamic Consistent Spatio-Temporal Attention Modelling,video saliency map spatio-temporal attention model optical flow,Cognitive Modeling,Multidisciplinary Topics,"human vision system actively seeks salient regions and movements in video sequences to reduce the search effort. modeling computational visual saliency map provides important information for semantic understanding in many real world applications. in this paper, we propose a novel video saliency detection model for detecting the attended regions that correspond to both interesting objects and dominant motions in video sequences. in spatial saliency map, we in-herit the classical bottom-up spatial saliency map based on intensity, color, contrast, and orientation features in pixel-level. in temporal saliency map, a novel optical flow model is proposed based on the dynamic consistency of motion. the spatial and the temporal saliency maps are constructed and further fused together to create a novel attention model. the proposed attention model is evaluated on three video datasets. empirical validations demonstrate the salient regions detected by our dynamic consistent saliency map highlight the interesting objects effectively and efficiency. more importantly, the automatically video attended regions detected by proposed attention model are consistent with the ground truth saliency maps of eye movement data."
12,Symmetry-Aware Marginal Density Estimation,statistical relational learning markov logic network lifted inference statistics rao-blackwell estimation theory marginal density estimation probabilistic inference probabilistic graphical models,"Big Data / Scalability
Machine Learning (General/other)
Probabilistic Inference
Relational Probabilistic Models","Machine Learning
Reasoning under Uncertainty",concepts from the field of statistics are leveraged to analyze and improve the scalability of inference in large probabilistic models that exhibit symmetries. a novel rao-blackwell marginal density estimator is introduced and shown both analytically and empirically to outperform standard estimators. the developed theory and algorithms apply to a broad class of probabilistic models including statistical relational models considered not susceptible to lifted probabilistic inference.
13,Improving WalkSAT for Random $k$-Satisfiability Problem with $k>3$,walksat random $k$-satisfiability problem multilevel make linear make,"SAT and CSP: Solvers and Tools
Heuristic Search
Constraint Satisfaction","Constraints and Satisfiability
Heuristic Search and Optimization","stochastic local search (sls) algorithms are well known for their ability to efficiently find models of randomly generated instances of the boolean satisfiablity (sat) problem. one of the most famous sls algorithms for sat is walksat, which is an initial algorithm that has wide influence among modern sls algorithms. recently, there has been increasing interest in walksat, due to the discovery of its great power on large random 3-sat instances. however, the performance of walksat on random $k$-sat instances with $k>3$ lags far behind. indeed, there have been few works in improving sls algorithms for such instances. this work takes a first large step towards this direction. we propose a novel concept namely $multilevel$ $make$. based on this concept, we design a scoring function called $linear$ $make$, which is utilized to break ties in walksat, leading to a new algorithm called walksat$lm$. our experimental results on random 5-sat and 7-sat instances show that walksat$lm$ improves walksat by orders of magnitudes. moreover, walksat$lm$ significantly outperforms state-of-the-art sls solvers on random 5-sat instances, while competes well on random 7-sat ones. additionally, walksat$lm$ performs very well on random instances from sat challenge 2012, indicating its robustness."
14,A Generalized Student-t Based Approach to Mixed-Type Anomaly Detection,outlier detection anomaly detection mixed type data inla,"Bayesian Learning
Data Mining and Knowledge Discovery
Graphical Model Learning
Unsupervised Learning (Other)",Machine Learning,"anomaly detection for mixed-type data is an important problem that has not been well addressed in the machine learning field. there are two challenging issues for mixed-type datasets, namely modeling mutual correlations between mixed-type attributes and capturing large variations due to anomalies. this paper presents unrebad, an unsupervised robust error buffering approach for anomaly detection in mixed-type datasets. a new variant of the generalized linear model is proposed to model the dependency between mixed-type attributes. the model incorporates an error buffering component based on student-t distribution to absorb the variations caused by anomalies. however, because of the non-gaussian design, the problem becomes analytically intractable. we propose a novel bayesian inference approach, which integrates laplace approximation and several computational optimizations, and is able to efficiently approximate the posterior of high dimensional latent variables by iteratively updating the latent variables in groups. extensive experimental evaluations based on 13 benchmark datasets demonstrate the effectiveness and efficiency of unrebad."
15,Causal Transportability with Limited Experiments,causality transportability meta-analysis transfer learning,"Action, Change, and Causality
Bayesian Networks","Knowledge Representation and Reasoning
Reasoning under Uncertainty","we address the problem of transferring causal knowledge learned in one environment to another, potentially different environment, when only limited experiments may be conducted at the source. this generalizes the treatment of transportability introduced in [pearl and bareinboim, 2011; bareinboim and pearl, 2012b], which deals with transferring causal information when any experiment can be conducted at the source. given that it is not always feasible to conduct certain controlled experiments, we consider the decision problem whether experiments on a selected subset z of variables together with qualitative assumptions encoded in a diagram may render causal effects in the target environment computable from the available data. this problem, which we call z-transportability, reduces to ordinary transportability when z is all-inclusive, and, like the latter, can be given syntactic characterization using the do-calculus [pearl, 1995; 2000]. this paper establishes a necessary and sufficient condition for causal effects in the target domain to be estimable from both the non-experimental information available and the limited experimental information transferred from the source. we further provides a complete algorithm for computing the transport formula, that is, a way of fusing experimental and observational information to synthesize an unbiased estimate of the desired causal relation."
16,Rank Aggregation via Low-rank and Structured-sparse Decomposition,rank aggregation low-rank matrices structured-sparsity meta-search,Preferences/Ranking Learning,Machine Learning,"rank aggregation, which combines multiple individual rank lists to obtain a better one, is a fundamental technique in various applications such as meta-search and recommendation systems. most existing rank aggregation methods blindly combine multiple rank lists with possibly considerable noises, which often degrades their performances. in this paper, we propose a new model for \textit{robust rank aggregation (rra)} via matrix learning, which recovers a latent rank list from the possibly incomplete and noisy input rank lists. in our model, we construct a pairwise comparison matrix to encode the order information in each input rank list. based on our observations, each comparison matrix can be naturally decomposed into a shared low-rank matrix, combined with a deviation error matrix which is the sum of a column-sparse matrix and a row-sparse one. the latent rank list can be easily extracted from the learned low-rank matrix. the optimization formulation of rra has an element-wise multiplication operator to handle missing values, a symmetric constraint on the noise structure, and a factorization trick to restrict the maximum rank of the low-rank matrix. to solve this challenging optimization problem, we propose a novel procedure based on the augmented lagrangian multiplier scheme. we conduct extensive experiments on meta-search and collaborative filtering benchmark datasets. the results show that the proposed rra has superior performance gain over several state-of-the-art algorithms for rank aggregation."
17,Computational Aspects of Nearly Single-Peaked Electorates,computational social choice (nearly) single-peaked profiles voting manipulation computational complexity algorithms,Social Choice / Voting,Multiagent Systems,"manipulation, bribery, and control are well-studied ways of changing the outcome of an election. many voting systems are in the general case computationally resistant to some of these manipulative actions. however when restricted to single-peaked electorates, these systems suddenly become easy to manipulate. recently, faliszewski, hemaspaandra, and hemaspaandra studied the complexity of dishonest behavior in nearly single-peaked electorates. these are electorates that are not single-peaked but close to it according to some distance measure. in this paper we introduce several new distance measures regarding single-peakedness. we prove that determining whether a given profile is nearly single-peaked is in many cases np-complete. for one case we present a polynomial-time algorithm. furthermore, we explore the relations between several notions of nearly single-peakedness and study the complexity of manipulation for nearly single-peaked elections."
18,On the Value of using Group Discounts under Price Competition,group discounts price competition stable matching optimal pricing,"E-Commerce
Game Theory
Mechanism Design
Uncertainty in AI (General/Other)","Multiagent Systems
Reasoning under Uncertainty","the increasing use of group discounts has provided opportunities for buying groups with diverse preferences to coordinate their behavior in order to exploit the best offers from multiple vendors. we analyze this problem from the viewpoint of the vendors, asking under what conditions a vendor should adopt a volume-based price schedule rather than posting a fixed price, either as a monopolist or when competing with other vendors. when vendors have uncertainty about buyers' valuations specified by a known distribution, we show that a vendor is always better off posting a fixed price, provided that buyers' types are i.i.d. and other vendors also use fixed prices. we also show that these assumptions cannot be relaxed: if buyers are not i.i.d., or other vendors post discount schedules, then posting a schedule may yield higher profit for the vendor. we provide similar results under a distribution-free uncertainty model, where vendors try to minimize their maximum regret over all type realizations."
19,Bundling Attacks in Judgment Aggregation,bundling judgment aggregation average case complexity,"Game Theory
Mechanism Design
Social Choice / Voting",Multiagent Systems,"we consider judgment aggregation over multiple independent issues, where the chairperson has her own opinion, and can try to bias the outcome by bundling several issues together. since for each bundle judges must give a uniform answer on all issues, different partitions of the issues may result in an outcome that is significantly different than the ``true'', issue-wise, decision.  we prove that the bundling problem faced by the chairperson, i.e. trying to bias the outcome towards her own opinion, is computationally difficult in the worst case. then we study the probability that an effective bundling attack exists as the disparity between the opinions of the judges and the chair varies. we show that if every judge initially agrees with the chair on every issue with probability of at least 1/2, then there is almost always a bundling attack (i.e. a partition) where the opinion of the chair on all issues is approved. moreover, such a partition can be found efficiently. in contrast, when the probability is lower than 1/2 then the chair cannot force her opinion even on a single issue."
20,Bounding the Cost of Stability in Games over Interaction Networks,cooperative games social networks cost of stability subsidies coalitions,"Coordination and Collaboration
Game Theory
Mechanism Design
Social Networks","Multiagent Systems
Applications","we study stability of cooperative games played over an interaction network, in a model that was introduced by myerson (1977). we show that the cost of stability of such games (i.e., the subsidy required to stabilize the game) can be bounded in terms of natural parameters of their underlying interaction networks.  specifically, we prove that if the treewidth of the interaction network h is k, then the relative cost of stability is at most k+1, and if the pathwidth of h is k', then the relative cost of stability is at most k'. we show that these bounds are tight for all k >= 2 and all k' >= 1, respectively."
21,Formalizing Hierarchical Clustering as Integer Linear Programming,hierarchical clustering integer programming global optimization,"Constraint Optimization
Optimization
Ontologies
Clustering
Unsupervised Learning (Other)
Machine Learning (General/other)
Constraint Satisfaction","Constraints and Satisfiability
Heuristic Search and Optimization
Knowledge-Based Systems
Machine Learning","hierarchical clustering is typically implemented as a greedy heuristic algorithm with no explicit objective function. in this work we formalize hierarchical clustering as an integer linear programming (ilp) problem with a natural objective function and the dendrogram properties enforced as linear constraints. though exact solvers exists for ilp we show that a simple randomized algorithm and a linear programming (lp) relaxation can be used to provide approximate solutions faster. formalizing hierarchical clustering also has the benefit that relaxing the constraints can produce novel problem variations such as overlapping clusterings. our experiments show that our formulation is capable of outperforming standard agglomerative clustering algorithms in a variety of settings, including traditional hierarchical clustering as well as learning overlapping clusterings."
22,Clustering with Complex Constraints - Algorithms and Applications,constrained clustering quadratic programming personal information management logical constraints,"Clustering
Data Mining and Knowledge Discovery",Machine Learning,"clustering with constraints is an important and developing area. however, most work is confined to conjunctions of simple together and apart constraints which limit their usability. in this paper, we propose a new formulation of constrained clustering that is able to incorporate not only existing types of constraints but also more complex logical combinations beyond conjunctions. we first show how any statement in conjunctive normal form (cnf) can be represented as a linear inequality. since existing clustering formulations such as spectral clustering cannot easily incorporate these linear inequalities, we propose a quadratic programming (qp) clustering formulation to accommodate them. this new formulation allows us to have much more complex guidance in clustering. we demonstrate the effectiveness of our approach in two applications on text and personal information management. we also compare our algorithm against existing constrained spectral clustering algorithm to show its efficiency in computational time."
23,GiSS: Combining Gibbs Sampling and SampleSearch for Inference in Mixed Probabilistic and Deterministic Graphical Models,probabilistic graphical models approximate inference gibbs sampling importance sampling markov chain monte carlo methods,"Bayesian Networks
Graphical Models (Other)
Probabilistic Inference",Reasoning under Uncertainty,"mixed probabilistic and deterministic graphical models are ubiquitous in real-world applications. unfortunately, gibbs sampling, a popular mcmc technique, does not converge to the correct answers in presence of determinism and therefore cannot be used for inference in such models. in this paper, we propose to remedy this problem by combining gibbs sampling with samplesearch, an advanced importance sampling technique which leverages complete sat/csp solvers to generate high quality samples from hard deterministic spaces. we call the resulting algorithm, giss. unlike gibbs sampling which yields unweighted samples, giss yields weighted samples. computing these weights exactly can be computationally expensive and therefore we propose several approximations. we show that our new weighting schemes yield consistent estimates and demonstrate experimentally that giss is competitive in terms of accuracy with state-of-the-art approximate inference algorithms such as samplesearch, mc-sat and belief propagation."
24,An Agent Design for Repeated Negotiation and Information Revelation with People,human-computer decision-making human-computer interaction negotiation,"Negotiation and Contract-Based Systems
Human-Computer Interaction","Multiagent Systems
Multidisciplinary Topics","many negotiations in the real world are characterized by incomplete  information, and participants' success depends on their ability to  reveal information in a way that facilitates agreement without  compromising their individual gains. this paper presents a novel  agent design for repeated negotiation in incomplete information  settings that learns to reveal information strategically during the  negotiation process. the agent used classical machine learning  techniques to predict how people make and respond to offers during  the negotiation, how they reveal information, and their response to  potential revelation actions by the agent. the agent was evaluated  empirically in an extensive empirical study spanning hundreds of  human subjects. results show that the agent was able to outperform  people. it learned to (1) make offers that were beneficial to people  while not compromising its own benefit; (2) incrementally reveal  information to people in a way that increased its expected  performance. we also show the agent was successful in new settings  without the need to acquire additional data. this work demonstrates  the efficacy of combining machine learning with opponent modeling  techniques towards the design of computer agents for negotiating  with people in settings of incomplete information."
25,A Maximum K-Min Approach for Classification,classification maximin maximum k min,Classification,Machine Learning,"over the past decades, maximin/minimax classifiers have been proven to be of excellent performance in numerous applications. in this paper, a novel robust maximum k-min criterion for classification is proposed which focuses on maximizing the gain obtained by the $k$ worst-classified instances while ignoring the remaining ones.the original combinatorial explosion problem is reformulated into a convex optimization problem with linear number of inequality constrains, which can be efficiently solved via standard convex optimization methods and guarantees a global optimum solution. to verify the performance of maximum k-min approach, a naive linear maximum k-min classifier and a nonlinear maximum k-min classifier are proposed for 2-class classification. the experiment results based on $10$ datasets show that the classification accuracy of maximum k-min classifiers is competitive with the state-of-the-art classifiers of support vector machine and logistic regression."
26,RockIt: Exploiting Parallelism and Symmetry for MAP Inference in Statistical Relational Models,statistical relational models map inference markov logic cutting plane aggregation,"Constraint Optimization
SAT and CSP: Evaluation and Analysis
SAT and CSP: Modeling/Formulations
SAT and CSP: Solvers and Tools
Graphical Models (Other)
Probabilistic Inference
Relational Probabilistic Models","Constraints and Satisfiability
Reasoning under Uncertainty","in this paper we present rockit a maximum a-posteriori (map) query engine for statistical relational models. map inference in graphical models is an optimization problem and can naturally be mapped to integer linear programs (ilps). with this paper, we present several optimizations for ilp translation of map queries including the meta algorithm cutting plane aggregation (cpa). cpa exploits context-specific symmetries, that is, symmetries introduced by evidence and bundles large numbers of linear constraints. the resulting counting constraints lead to more compact ilps and, more importantly, make the symmetry of the ground model explicit to state-of-the-art ilp solvers. moreover, we parallelize all parts of the map inference pipeline in order to take advantage of multi-core architectures. we conducted numerous experiments on standard markov logic networks (mln) benchmarks, demonstrating that rockit outperforms state-of-the-art systems such as alchemy and tuffy both in terms of efficiency and quality of results."
27,Multi-Armed Bandit with Budget Constraint and Variable Costs,multi-armed bandit online learning ad exchange,"Online Learning
E-Commerce","Machine Learning
Multiagent Systems","we study the multi-armed bandit problems with budget constraint and variable costs (mab-bv). in this setting, pulling an arm will receive a random reward together with a random cost, and the objective of an algorithm is to pull a sequence of arms in order to maximize the expected total reward with the costs of pulling those arms complying with a budget constraint. this new setting models many internet applications (e.g., ad exchange, sponsored search, and cloud computing) in a more accurate manner than previous settings where the pulling of arms is either costless or with a fixed cost. we propose two ucb based algorithms for the new setting. the first algorithm needs prior knowledge about the lower bound of the expected costs when computing the exploration term. the second algorithm eliminates this need by estimating the minimal expected costs from empirical observations, and therefore can be applied to more real-world applications where prior knowledge is not available. we prove that both algorithms have nice learning abilities, with regret bounds of $o(\ln b)$. furthermore, we show that when applying our proposed algorithms to a previous setting with fixed costs (which can be regarded as our special case), one can improve the previously obtained regret bound. our simulation results on real-time bidding in ad exchange verify the effectiveness of the algorithms and are consistent with our theoretical analysis."
28,Abstract Preference Frameworks — a Unifying Perspective on Separability and Strong Equivalence,reasoning with preferences strong equivalence separability in preference frameworks,"Nonmonotonic Reasoning
Preferences
Qualitative Reasoning",Knowledge Representation and Reasoning,"to study mechanisms common across a variety of preference formalisms, we introduce a novel abstract preference framework. it makes no syntactic assumptions and uses most general representations to model the semantics. we use our abstract preference framework to study strong equivalence in preference formalisms, a version of equivalence that guarantees semantic-preserving replacements of parts of preference theories, and is fundamental for preference rewriting and modularity. to this end we identify abstract postulates in the language of preference frameworks, capturing natural semantic properties of preferences, and show that they lead to elegant characterizations, applicable in many practical settings. in a similar way, we study the separability of constraints and preferences. preference languages have to capture constraints on the domain of interest that give rise to intended outcomes, and preferences that describe what is desirable. in many preference formalisms these two objectives are clearly separated, in some others they are not. we identify abstract postulates that guarantee separability of a preference formalism and lead to its separated variant."
29,Equilibria of Online Scheduling Algorithms,online games equilibrium analysis scheduling algorithms competitive queues non-bayesian equilibria,Game Theory,Multiagent Systems,"we describe a model for competitive online scheduling algorithms. two servers, each with a single observable queue, compete for customers. upon arrival, each customer strategically chooses the queue with minimal expected wait time. each scheduler wishes to maximize its number of customers, and can strategically select which scheduling algorithm, such as first-come-first-served (fcfs), to use for its queue. this induces a game played by the servers and the customers. we consider a non-bayesian setting, where servers and customers play to maximize worst-case payoffs. we show that there is a unique subgame perfect safety-level equilibrium and we describe the associated scheduling algorithm (which is not fcfs). the uniqueness result holds for both randomized and deterministic algorithms, with a different equilibrium algorithm in each case. when the goal of the servers is to minimize competitive ratio, we prove that it is an equilibrium for each server to apply fcfs: each server obtains the optimal competitive ratio of 2."
30,A Robust Bidirectional Search Using Heuristic Improvement,bidirectional search heuristic search heuristic correction perimeter search,"Heuristic Search
Evaluation and Analysis (Search and Optimization)
Search (General/Other)",Heuristic Search and Optimization,"although the heuristic search algorithm a* is well-known to be optimally efficient, this result explicitly assumes forward search. bidirectional search has long held promise for surpassing a*'s efficiency, and many varieties have been proposed, but it has proven difficult to achieve robust performance across multiple domains in practice. we introduce a simple bidirectional search algorithm called auto-tuning a* that judiciously performs backward search to improve the accuracy of the forward heuristic function. we assess its theoretical properties and empirically evaluate its performance across seven benchmark domains. in the best case, it yields a factor of six reduction in node expansions and cpu time compared to a*, and in the worst case, its overhead is provably bounded by a user-supplied parameter, such as 1\%. viewing performance across all domains, it also surpasses previously proposed bidirectional search algorithms. these results indicate that auto-tuning a* is robust way to leverage bidirectional search in practice."
31,Bribery in Voting With Soft Constraints,bribery voting soft constraints,"Preferences
Social Choice / Voting","Knowledge Representation and Reasoning
Multiagent Systems","we consider a multi-agent scenario where a collection of agents needs to select a common decision from a large set of possible decisions, over which they express their preferences. such a decision set has a combinatorial structure, that is, each candidate is an element of the cartesian product of the domains of some variables. we assume agents compactly express their preferences over the candidates via soft constraints. we consider various aggregation methods: some are sequential, in the sense that they aggregate the preferences over one variable at a time, and an other one is one-step, i.e., it aggregates the preferences over complete assignments of the variables. we study the complexity of influencing such aggregation methods through bribery: how computationally complex is it for an external agent to determine whether by paying certain agents to change their preferences, within a certain budget, a specified candidate can be made the winner decision? we prove that bribery is np-complete for the considered sequential aggregation methods (based on plurality, approval, and borda) for most of the cost schemes we defined, while the problem is polynomial for one-step plurality."
32,Sparse Multi-task Learning for Detecting Influential Nodes in an Implicit Diffusion Network,influential node detection information diffusion multi-task learning sparse learning accelerated gradient descent,"Dimension Reduction/Feature Selection
Transfer, Adaptation, Multitask Learning
Machine Learning (General/other)",Machine Learning,"how to identify influential nodes is a central research topic in information diffusion analysis. many existing methods rely on the assumption that the network structure is completely known by the model. however, in many applications, such a network is either unavailable or insufficient to explain the underlying information diffusion phenomena. to address this challenge, we develop a multi-task sparse linear influence model (mslim), which can simultaneously predict the volume for each contagion and automatically identify sets of the most influential nodes for different contagions. our method is based on the linear influence model with two main advantages: 1) it does not require the network structure; 2) it can detect different sets of the most influential nodes for different contagions. to solve the corresponding convex optimization problem for learning the model, we adopt the accelerated gradient descent (agm) framework and show that there is an exact closed-form solution for the proximal mapping. therefore, the optimization procedure achieves the optimal first-order convergence rate and can be scaled to very large datasets. the proposed model is validated on a set of 2.6 millions of tweets of 1000 users on twitter. we show that mslim can efficiently select the most influential users for specific contagions. we also present several interesting patterns of the selected influential users."
